medicamento,componente,forma_farmaceutica,concentracao
"varfarina sódica","Componente Básico","comprimido","100 mg"
"varfarina sódica","Componente Básico","comprimido","500 mg"
"varfarina sódica","Componente Básico","suspensão oral","10 mg/mL"
"varfarina sódica","Componente Básico","comprimido","5 mg"
"varfarina sódica","Componente Básico","comprimido","10 mg"
"varfarina sódica","Componente Básico","cápsula","0,9 mg de alcaloides oxindólicos pentaclíclicos"
"varfarina sódica","Componente Básico","comprimido","0,9 mg de alcaloides oxindólicos pentaclíclicos"
"varfarina sódica","Componente Básico","gel","0,9 mg de alcaloides oxindólicos pentaclíclicos"
"varfarina sódica","Componente Básico","comprimido","1 mg"
"varfarina sódica","Componente Básico","comprimido","5 mg"
"Concentração/ Composição​","Componente Estratégico","solução injetável","4 mcg/mL"
"Concentração/ Composição​","Componente Estratégico","solução injetável","15 mcg/mL"
"ácido folínico","Componente Estratégico","comprimido","15 mg"
"ácido paraminossalicílico","Componente Estratégico","granulado oral","4g"
"ácido tranexâmico","Componente Estratégico","comprimido","250 mg"
"albendazol","Componente Estratégico","comprimido mastigável","400 mg"
"alfapeginterferona 2a","Componente Estratégico","solução injetável","180 mcg"
"alfapeginterferona 2a","Componente Estratégico","pó para solução injetável","118,4 mcg (80 mcg/0,5 mL após reconstituição)"
"alfapeginterferona 2a","Componente Estratégico","pó para solução injetável","148 mcg (100 mcg/0,5 mL após reconstituição)"
"alfapeginterferona 2a","Componente Estratégico","pó para solução injetável","177,6 mcg (120 mcg/0,5 mL após reconstituição)"
"anfotericina B (complexo lipídico)","Componente Estratégico","suspensão injetável","5 mg/mL"
"anfotericina B (desoxicolato)","Componente Estratégico","pó para solução injetável","50 mg"
"anfotericina B (lipossomal)","Componente Estratégico","pó para solução injetável","50 mg"
"anidulafungina","Componente Estratégico","pó liofilizado para solução injetável","100 mg"
"antimoniato de meglumina","Componente Estratégico","solução injetável","300 mg/mL"
"artemeter + lumefantrina","Componente Estratégico","comprimido","20 mg + 120 mg"
"artesunato","Componente Estratégico","pó para solução injetável","60 mg/mL"
"artesunato","Componente Estratégico","comprimido","25 mg + 50 mg"
"artesunato","Componente Estratégico","comprimido","100 mg + 220 mg"
"artesunato","Componente Estratégico","comprimido","500 mg"
"artesunato","Componente Estratégico","pó para suspensão oral","40 mg/mL"
"artesunato","Componente Estratégico","comprimido","250 mg"
