medicamento,componente,forma_farmaceutica,concentracao
"brometo de piridostigmina","Componente Especializado","","2"
"brometo de tiotrópio monoidratado + cloridrato de olodaterol","Componente Especializado","solução inalatória","2,5 mcg + 2,5 mcg"
"brometo de tiotrópio monoidratado + cloridrato de olodaterol","Componente Especializado","","1B"
"brometo de umeclidínio + trifenatato de vilanterol","Componente Especializado","pó inalatório","62,5 mcg + 25 mcg"
"brometo de umeclidínio + trifenatato de vilanterol","Componente Especializado","","1B"
"PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","solução aerossol","100 mcg/dose"
"PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","2"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","cápsula de liberação prolongada","8 mg"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","1A"
"PCDT Doença de Alzheimer","Componente Especializado","cápsula de liberação prolongada","16 mg"
"PCDT Doença de Alzheimer","Componente Especializado","","1A"
"PCDT Doença de Alzheimer","Componente Especializado","cápsula de liberação prolongada","24 mg"
"PCDT Doença de Alzheimer","Componente Especializado","","1A"
"PCDT Doença de Alzheimer","Componente Especializado","","2"
"budesonida","Componente Especializado","aerossol oral","200 mcg"
"Concentração/ Composição","Componente Especializado","cápsula inalatória","200 mcg"
"Grupo de financiamento","Componente Especializado","","2"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","2"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","pó inalatório","200 mcg"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","cápsula inalatória","400 mcg"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","2"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","solução injetável","10 mg/mL"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","1A"
"PCDT Raquitismo e Osteomalácia","Componente Especializado","solução injetável","20 mg/mL"
"PCDT Raquitismo e Osteomalácia","Componente Especializado","","1A"
"PCDT Raquitismo e Osteomalácia","Componente Especializado","solução injetável","30 mg/mL"
"PCDT Raquitismo e Osteomalácia","Componente Especializado","","1A"
"PCDT Raquitismo e Osteomalácia","Componente Especializado","comprimido","0,5 mg"
"PCDT Raquitismo e Osteomalácia","Componente Especializado","","1A"
"calcipotriol","Componente Especializado","pomada","50 mcg/g (0,005%)"
"calcipotriol","Componente Especializado","","2"
"calcitonina","Componente Especializado","solução nasal","200 UI/dose"
"calcitonina","Componente Especializado","","2"
"PCDT Doença de Paget PCDT Osteoporose","Componente Especializado","","2"
"PCDT Distúrbio Mineral Ósseo na Doença Renal Crônica PCDT Hipoparatireoidismo PCDT Osteoporose PCDT Raquitismo e Osteomalácia","Componente Especializado","","1A"
"PCDT Artrite Psoríaca PCDT Artrite Reumatoide PCDT Doença de Crohn PCDT Espondilite Ancilosante","Componente Especializado","","2"
"ciclofosfamida","Componente Especializado","","0,25 mcg"
"ciclofosfamida","Componente Especializado","","200 mg"
"ciclofosfamida","Componente Especializado","cápsula","50 mg"
"ciclofosfamida","Componente Especializado","solução injetável",""
"ciclofosfamida","Componente Especializado","comprimido de liberação retardada",""
"Concentração/ Composição","Componente Especializado","","10 mg"
"Concentração/ Composição","Componente Especializado","cápsula",""
"Grupo de financiamento","Componente Especializado","","2"
"Concentração/ Composição","Componente Especializado","","25 mg"
"Concentração/ Composição","Componente Especializado","cápsula",""
"Grupo de financiamento","Componente Especializado","","2"
"Concentração/ Composição","Componente Especializado","","100 mg"
"Concentração/ Composição","Componente Especializado","cápsula",""
"Grupo de financiamento","Componente Especializado","","2"
"Concentração/ Composição","Componente Especializado","","50 mg"
"Concentração/ Composição","Componente Especializado","cápsula",""
"Grupo de financiamento","Componente Especializado","","2"
"Concentração/ Composição","Componente Especializado","","100 mg/mL"
"Concentração/ Composição","Componente Especializado","solução oral",""
"Grupo de financiamento","Componente Especializado","","2"
"ciprofibrato","Componente Especializado","comprimido","100 mg"
"ciprofibrato","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","comprimido","20 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","1A"
"PCDT Hipertensão Pulmonar","Componente Especializado","comprimido","25 mg"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1A"
"PCDT Esclerose Sistêmica","Componente Especializado","comprimido","50 mg"
"PCDT Esclerose Sistêmica","Componente Especializado","","1A"
"PCDT Esclerose Sistêmica","Componente Especializado","comprimido","10 mg"
"PCDT Esclerose Sistêmica","Componente Especializado","","1A"
"PCDT Esclerose Múltipla","Componente Especializado","comprimido","10 mg"
"PCDT Esclerose Múltipla","Componente Especializado","","2"
"PCDT Epilepsia","Componente Especializado","comprimido","20 mg"
"PCDT Epilepsia","Componente Especializado","","2"
"PCDT Epilepsia","Componente Especializado","comprimido","100 mg"
"PCDT Epilepsia","Componente Especializado","","1B"
"PCDT Doença de Parkinson","Componente Especializado","comprimido","60 mg"
"PCDT Doença de Parkinson","Componente Especializado","","1A"
"PCDT Distúrbio Mineral Ósseo na Doença Renal Crônica","Componente Especializado","comprimido","30 mg"
"PCDT Distúrbio Mineral Ósseo na Doença Renal Crônica","Componente Especializado","","1A"
"Grupo de financiamento","Componente Especializado","comprimido","5 mg"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Doença de Alzheimer","Componente Especializado","comprimido","10 mg"
"PCDT Doença de Alzheimer","Componente Especializado","","1A"
"cloridrato de dorzolamida","Componente Especializado","solução oftálmica","20 mg/mL"
"cloridrato de dorzolamida","Componente Especializado","","2"
"cloridrato de fingolimode","Componente Especializado","cápsula","0,5 mg"
"cloridrato de fingolimode","Componente Especializado","","1A"
"cloridrato de memantina","Componente Especializado","comprimido","10 mg"
"cloridrato de memantina","Componente Especializado","","1A"
"PCDT Doença de Alzheimer","Componente Especializado","comprimido","5 mg"
"PCDT Doença de Alzheimer","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","comprimido","10 mg"
"PCDT Dor Crônica","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","solução injetável","10 mg/mL"
"PCDT Dor Crônica","Componente Especializado","","2"
"cloridrato de pilocarpina","Componente Especializado","solução oftálmica","20 mg/mL (2%)"
"cloridrato de pilocarpina","Componente Especializado","","2"
"cloridrato de raloxifeno","Componente Especializado","comprimido","60 mg"
"cloridrato de raloxifeno","Componente Especializado","","2"
"cloridrato de selegilina","Componente Especializado","comprimido","5 mg"
"cloridrato de selegilina","Componente Especializado","","1B"
"cloridrato de sevelâmer","Componente Especializado","comprimido","800 mg"
"cloridrato de sevelâmer","Componente Especializado","","1A"
"cloridrato de triexifenidil","Componente Especializado","comprimido","5 mg"
"cloridrato de triexifenidil","Componente Especializado","","1B"
"PCDT Doença de Parkinson","Componente Especializado","cápsula","40 mg"
"PCDT Doença de Parkinson","Componente Especializado","","1A"
"PCDT Esquizofrenia PCDT Transtorno Esquizoafetivo","Componente Especializado","cápsula","80 mg"
"PCDT Esquizofrenia PCDT Transtorno Esquizoafetivo","Componente Especializado","","1A"
"PCDT Esquizofrenia PCDT Transtorno Esquizoafetivo","Componente Especializado","","1A"
"PCDT Doença de Parkinson PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","1A"
"cloridrato de ziprasidona","Componente Especializado","comprimido","25 mg"
"cloridrato de ziprasidona","Componente Especializado","comprimido","clozapina 100 mg"
"Grupo de financiamento","Componente Especializado","pó para solução para infusão ou inalação","80 mg (1.000.000 UI)"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Fibrose Cística","Componente Especializado","pó para solução para infusão ou inalação","160 mg (2.000.000 UI)"
"PCDT Fibrose Cística","Componente Especializado","","1A"
"PCDT Fibrose Cística","Componente Especializado","pó",""
"PCDT Fibrose Cística","Componente Especializado","","2"
"complemento alimentar para paciente fenilcetonúrico maior de 1 ano (fórmula de aminoácidos isenta de fenilalanina)","Componente Especializado","",""
"complemento alimentar para paciente fenilcetonúrico menor de 1 ano (fórmula de aminoácidos isenta de fenilalanina)","Componente Especializado","",""
"danazol","Componente Especializado","","100 mg"
"danazol","Componente Especializado","","200 mg"
"Grupo de financiamento","Componente Especializado","pó",""
"Grupo de financiamento","Componente Especializado","","2"
"PCDT Fenilcetonúria","Componente Especializado","","1B"
"PCDT Angioedema associado à deficiência de C1 esterase PCDT Endometriose PCDT Lúpus Eritematoso Sistêmico PCDT Púrpura Trombocitopênica Idiopática","Componente Especializado","","1B"
"PCDT Angioedema associado à deficiência de C1 esterase PCDT Endometriose PCDT Lúpus Eritematoso Sistêmico PCDT Púrpura Trombocitopênica Idiopática","Componente Especializado","cápsula",""
"PCDT Angioedema associado à deficiência de C1 esterase PCDT Endometriose PCDT Lúpus Eritematoso Sistêmico PCDT Púrpura Trombocitopênica Idiopática","Componente Especializado","cápsula",""
"Documento norteador1","Componente Especializado","comprimido","10 mg"
"Documento norteador1","Componente Especializado","","2"
"PCDT Diabetes Mellitus tipo 2 PCDT Insuficiência Cardíaca com Fração de Ejeção Reduzida PCDT Estratégias para atenuar a progressão da Doença Renal Crônica","Componente Especializado","comprimido para suspensão","125 mg"
"PCDT Diabetes Mellitus tipo 2 PCDT Insuficiência Cardíaca com Fração de Ejeção Reduzida PCDT Estratégias para atenuar a progressão da Doença Renal Crônica","Componente Especializado","","1A"
"PCDT Sobrecarga de Ferro","Componente Especializado","comprimido para suspensão","250 mg"
"PCDT Sobrecarga de Ferro","Componente Especializado","","1A"
"PCDT Sobrecarga de Ferro","Componente Especializado","comprimido para suspensão","500 mg"
"PCDT Sobrecarga de Ferro","Componente Especializado","","1A"
"PCDT Sobrecarga de Ferro","Componente Especializado","comprimido","500 mg"
"PCDT Sobrecarga de Ferro","Componente Especializado","","1B"
"PCDT Sobrecarga de Ferro","Componente Especializado","comprimido","0,125 mg"
"PCDT Sobrecarga de Ferro","Componente Especializado","","1A"
"PCDT Doença de Parkinson","Componente Especializado","comprimido","0,25 mg"
"PCDT Doença de Parkinson","Componente Especializado","","1A"
"PCDT Doença de Parkinson","Componente Especializado","comprimido","1 mg"
"PCDT Doença de Parkinson","Componente Especializado","","1A"
"dicloridrato de sapropterina","Componente Especializado","comprimido solúvel","100 mg"
"dicloridrato de sapropterina","Componente Especializado","","1B"
"dicloridrato de trientina","Componente Especializado","cápsula","250 mg"
"dicloridrato de trientina","Componente Especializado","","1A"
"difosfato de cloroquina","Componente Especializado","comprimido","150 mg"
"difosfato de cloroquina","Componente Especializado","","2"
"PCDT Artrite Reumatoide PCDT Lúpus Eritematoso Sistêmico","Componente Especializado","solução para diluição para infusão","10 mg/mL"
"PCDT Artrite Reumatoide PCDT Lúpus Eritematoso Sistêmico","Componente Especializado","","1A"
"PCDT Hemoglobinúria Paroxística Noturna","Componente Especializado","comprimido","50 mg/25 mg/37,5 mg + 75 mg"
"PCDT Hemoglobinúria Paroxística Noturna","Componente Especializado","","1A"
"PCDT Fibrose Cística","Componente Especializado","comprimido","100 mg/50 mg/75 mg + 150 mg"
"PCDT Fibrose Cística","Componente Especializado","","1A"
"PCDT Fibrose Cística","Componente Especializado","comprimido","25 mg"
"PCDT Fibrose Cística","Componente Especializado","","1B"
"PCDT Púrpura Trombocitopênica Idiopática PCDT Síndrome de Falência Medular","Componente Especializado","comprimido","50 mg"
"PCDT Púrpura Trombocitopênica Idiopática PCDT Síndrome de Falência Medular","Componente Especializado","","1B"
"Concentração/ Composição","Componente Especializado","pó para suspensão injetável de liberação prolongada","11,25 mg"
"Concentração/ Composição","Componente Especializado","","1B"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","pó para suspensão injetável de liberação prolongada","22,5 mg"
"PCDT Endometriose PCDT Leiomioma de Útero PCDT Puberdade Precoce Central","Componente Especializado","","1B"
"PCDT Puberdade Precoce Central","Componente Especializado","solução injetável","40 mg/0,4 mL"
"PCDT Puberdade Precoce Central","Componente Especializado","","1A"
"PCDT Prevenção de Tromboembolismo Venoso em Gestantes com Trombofilia","Componente Especializado","solução injetável","60 mg/0,6 mL"
"PCDT Prevenção de Tromboembolismo Venoso em Gestantes com Trombofilia","Componente Especializado","","1A"
"PCDT Prevenção de Tromboembolismo Venoso em Gestantes com Trombofilia","Componente Especializado","comprimido","200 mg"
"PCDT Prevenção de Tromboembolismo Venoso em Gestantes com Trombofilia","Componente Especializado","","1A"
"PCDT Doença de Parkinson","Componente Especializado","","1A"
"etanercepte","Componente Especializado","solução injetável","25 mg"
"etanercepte","Componente Especializado","solução injetável","50 mg"
"etanercepte","Componente Especializado","","1A"
"etofibrato","Componente Especializado","cápsula","500 mg"
"etofibrato","Componente Especializado","","2"
"etossuximida","Componente Especializado","xarope","50 mg/mL"
"etossuximida","Componente Especializado","","2"
"PCDT Epilepsia","Componente Especializado","","1A"
"PCDT Imunossupressão no Transplante Cardíaco PCDT Imunossupressão no Transplante Hepático em Adultos PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal","Componente Especializado","","1A"
"everolimo","Componente Especializado","","0,5 mg"
"everolimo","Componente Especializado","comprimido","0,75 mg"
"everolimo","Componente Especializado","comprimido",""
"Documento norteador1","Componente Especializado","comprimido","1 mg"
"Documento norteador1","Componente Especializado","","1A"
"PCDT Imunossupressão no Transplante Cardíaco PCDT Imunossupressão no Transplante Hepático em Adultos PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal","Componente Especializado","cápsula","200 mg"
"PCDT Imunossupressão no Transplante Cardíaco PCDT Imunossupressão no Transplante Hepático em Adultos PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","cápsula de liberação retardada","250 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","solução injetável","300 mcg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","1A"
"PCDT Síndrome de Falência Medular","Componente Especializado","solução oral","3 mg/mL"
"PCDT Síndrome de Falência Medular","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","comprimido","30 mg"
"PCDT Dor Crônica","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","comprimido","60 mg"
"PCDT Dor Crônica","Componente Especializado","","2"
"PCDT Dor Crônica","Componente Especializado","solução injetável","30 mg/mL"
"PCDT Dor Crônica","Componente Especializado","","2"
"Grupo de financiamento","Componente Especializado","cápsula de liberação retardada","120 mg"
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Esclerose Múltipla","Componente Especializado","cápsula de liberação retardada","240 mg"
"PCDT Esclerose Múltipla","Componente Especializado","","1A"
"PCDT Esclerose Múltipla","Componente Especializado","cápsula inalatória","12 mcg"
"PCDT Esclerose Múltipla","Componente Especializado","","2"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","2"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","2"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","2"
"fumarato de formoterol + budesonida","Componente Especializado","pó inalatório","12mcg"
"fumarato de formoterol + budesonida","Componente Especializado","cápsula inalatória","6 mcg + 200 mcg"
"fumarato de formoterol + budesonida","Componente Especializado","pó inalatório","6 mcg + 200 mcg"
"Concentração/ Composição","Componente Especializado","cápsula inalatória","12 mcg + 400 mcg"
"Grupo de financiamento","Componente Especializado","","2"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","pó inalatório","12 mcg + 400 mcg"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","2"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","cápsula","300 mg"
"PCDT Asma PCDT Doença Pulmonar Obstrutiva Crônica (DPOC)","Componente Especializado","","2"
"PCDT Dor Crônica PCDT Epilepsia","Componente Especializado","cápsula","400 mg"
"PCDT Dor Crônica PCDT Epilepsia","Componente Especializado","","2"
"PCDT Dor Crônica PCDT Epilepsia","Componente Especializado","solução injetável","5 mg"
"PCDT Dor Crônica PCDT Epilepsia","Componente Especializado","","1A"
"PCDT Mucopolissacaridose Tipo VI","Componente Especializado","comprimido","600 mg"
"PCDT Mucopolissacaridose Tipo VI","Componente Especializado","","2"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","comprimido","900 mg"
"PCDT Dislipidemia: prevenção de eventos cardiovasculares e pancreatite","Componente Especializado","","2"
"Concentração/ Composição","Componente Especializado","solução injetável","50 mg"
"Concentração/ Composição","Componente Especializado","","25 mg"
"Concentração/ Composição","Componente Especializado","comprimido","100 mg"
"Concentração/ Composição","Componente Especializado","comprimido",""
"Grupo de financiamento","Componente Especializado","","1A"
"PCDT Artrite Psoríaca PCDT Artrite Reumatoide PCDT Espondilite Ancilosante","Componente Especializado","","1A"
"PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","1A"
"PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","1A"
"PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","hemifumarato de quetiapina 200 mg"
"hidroxiureia","Componente Especializado","comprimido",""
"Documento norteador1","Componente Especializado","comprimido","300 mg"
"Documento norteador1","Componente Especializado","","1A"
"PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","comprimido","100 mg"
"PCDT Esquizofrenia PCDT Transtorno Afetivo Bipolar do tipo I PCDT Transtorno Esquizoafetivo","Componente Especializado","","1B"
"PCDT Doença Falciforme","Componente Especializado","cápsula","500 mg"
"PCDT Doença Falciforme","Componente Especializado","","1B"
"idursulfase","Componente Especializado","solução injetável","2 mg/mL"
"idursulfase","Componente Especializado","","1A"
"iloprosta","Componente Especializado","solução inalatória","10 mcg/mL"
"iloprosta","Componente Especializado","","1B"
"PCDT Hipertensão Pulmonar","Componente Especializado","pó para solução injetável","400 U"
"PCDT Hipertensão Pulmonar","Componente Especializado","","1A"
"PCDT Doença de Gaucher","Componente Especializado","","1B"
"imunoglobulina humana","Componente Especializado","solução injetável","0,5 g"
"Concentração/ Composição","Componente Especializado","","0,5 g"
"Concentração/ Composição","Componente Especializado","pó para solução injetável",""
"Grupo de financiamento","Componente Especializado","","1B"
"PCDT Anemia Hemolítica Autoimune PCDT Dermatomiosite e Polimiosite PCDT Imunodeficiência Primária com Predominância de Defeitos de Anticorpos PCDT Imunossupressão em Transplante Renal PCDT Miastenia Gravis PCDT Púrpura Trombocitopênica Idiopática PCDT Síndrome de Falência Medular PCDT Síndrome de Guillain-Barré","Componente Especializado","","1B"
"imunoglobulina humana","Componente Especializado","pó para solução injetável","1g"
"Concentração/ Composição","Componente Especializado","","1g"
"Concentração/ Composição","Componente Especializado","solução injetável",""
"Grupo de financiamento","Componente Especializado","","1B"
"PCDT Anemia Hemolítica Autoimune PCDT Dermatomiosite e Polimiosite PCDT Imunodeficiência Primária com Predominância de Defeitos de Anticorpos PCDT Imunossupressão em Transplante Renal PCDT Miastenia Gravis PCDT Púrpura Trombocitopênica Idiopática PCDT Síndrome de Falência Medular PCDT Síndrome de Guillain-Barré","Componente Especializado","","1B"
"imunoglobulina humana","Componente Especializado","pó para solução injetável","2,5 g"
"Concentração/ Composição","Componente Especializado","","2,5 g"
"Concentração/ Composição","Componente Especializado","solução injetável",""
"Grupo de financiamento","Componente Especializado","","1B"
"PCDT Anemia Hemolítica Autoimune PCDT Dermatomiosite e Polimiosite PCDT Imunodeficiência Primária com Predominância de Defeitos de Anticorpos PCDT Imunossupressão em Transplante Renal PCDT Miastenia Gravis PCDT Púrpura Trombocitopênica Idiopática PCDT Síndrome de Falência Medular PCDT Síndrome de Guillain-Barré","Componente Especializado","","1A"
"imunoglobulina humana","Componente Especializado","pó para solução injetável","5g"
"Documento norteador1","Componente Especializado","","1A"
"PCDT Anemia Hemolítica Autoimune PCDT Dermatomiosite e Polimiosite PCDT Imunodeficiência Primária com Predominância de Defeitos de Anticorpos PCDT Imunossupressão em Transplante Renal PCDT Miastenia Gravis PCDT Púrpura Trombocitopênica Idiopática PCDT Síndrome de Falência Medular PCDT Síndrome de Guillain-Barré","Componente Especializado","pó para solução injetável","100 mg"
"PCDT Anemia Hemolítica Autoimune PCDT Dermatomiosite e Polimiosite PCDT Imunodeficiência Primária com Predominância de Defeitos de Anticorpos PCDT Imunossupressão em Transplante Renal PCDT Miastenia Gravis PCDT Púrpura Trombocitopênica Idiopática PCDT Síndrome de Falência Medular PCDT Síndrome de Guillain-Barré","Componente Especializado","","1A"
"PCDT Artrite Psoríaca PCDT Artrite Reumatoide PCDT Artrite Idiopática Juvenil PCDT Doença de Crohn PCDT Espondilite Ancilosante PCDT Retocolite Ulcerativa","Componente Especializado","solução injetável","300 UI/mL"
"PCDT Artrite Psoríaca PCDT Artrite Reumatoide PCDT Artrite Idiopática Juvenil PCDT Doença de Crohn PCDT Espondilite Ancilosante PCDT Retocolite Ulcerativa","Componente Especializado","","1A"
"PCDT Diabetes Mellitus Tipo 1","Componente Especializado","solução injetável","100 UI/mL"
"PCDT Diabetes Mellitus Tipo 1","Componente Especializado","","1A"
"PCDT Diabetes Mellitus Tipo 1","Componente Especializado","solução injetável","5g"
"insulina análoga de ação rápida","Componente Especializado","solução injetável","100 UI/mL"
"insulina análoga de ação rápida","Componente Especializado","","1A"
"PCDT Diabetes Mellitus Tipo 1","Componente Especializado","cápsula","10 mg"
"PCDT Diabetes Mellitus Tipo 1","Componente Especializado","","2"
"Protocolo de Uso da Isotretinoína no Tratamento da Acne Grave","Componente Especializado","cápsula","20 mg"
"Protocolo de Uso da Isotretinoína no Tratamento da Acne Grave","Componente Especializado","","2"
"Protocolo de Uso da Isotretinoína no Tratamento da Acne Grave","Componente Especializado","comprimido","150 mg"
"Protocolo de Uso da Isotretinoína no Tratamento da Acne Grave","Componente Especializado","","1A"
"PCDT Fibrose Cística","Componente Especializado","comprimido","25 mg"
"PCDT Fibrose Cística","Componente Especializado","","2"
"PCDT Epilepsia PCDT Transtorno Afetivo Bipolar do tipo I","Componente Especializado","comprimido","50 mg"
"PCDT Epilepsia PCDT Transtorno Afetivo Bipolar do tipo I","Componente Especializado","","2"
"PCDT Epilepsia PCDT Transtorno Afetivo Bipolar do tipo I","Componente Especializado","comprimido","100 mg"
"PCDT Epilepsia PCDT Transtorno Afetivo Bipolar do tipo I","Componente Especializado","","2"
"laronidase","Componente Especializado","solução injetável","0,58 mg/mL"
"laronidase","Componente Especializado","","1A"
"latanoprosta","Componente Especializado","solução oftálmica","0,05 mg/mL (0,005%)"
"latanoprosta","Componente Especializado","","1A"
"Documento norteador1","Componente Especializado","comprimido","20 mg"
"Documento norteador1","Componente Especializado","","1A"
"PCDT Artrite Idiopática Juvenil PCDT Artrite Psoríaca PCDT Artrite Reumatoide","Componente Especializado","comprimido","250 mg"
"PCDT Artrite Idiopática Juvenil PCDT Artrite Psoríaca PCDT Artrite Reumatoide","Componente Especializado","","1A"
"PCDT Epilepsia","Componente Especializado","comprimido","750 mg"
"PCDT Epilepsia","Componente Especializado","","1A"
"PCDT Epilepsia","Componente Especializado","solução oral","100 mg/mL"
"PCDT Epilepsia","Componente Especializado","","1A"
"PCDT Epilepsia","Componente Especializado","comprimido","500 mg"
"PCDT Epilepsia","Componente Especializado","","1A"
"PCDT Epilepsia","Componente Especializado","comprimido","1.000 mg"
"PCDT Epilepsia","Componente Especializado","","1A"
"PCDT Epilepsia","Componente Especializado","solução oftálmica","5 mg/mL (0,5%)"
"PCDT Epilepsia","Componente Especializado","","2"
"PCDT Glaucoma","Componente Especializado","solução injetável","40 mg/0,4 mL"
"PCDT Glaucoma","Componente Especializado","","1B"
"PCDT Asma","Componente Especializado","pó para solução injetável","100 mg"
"PCDT Asma","Componente Especializado","","1B"
"PCDT Asma","Componente Especializado","solução injetável","100 mg/mL"
"PCDT Asma","Componente Especializado","","1B"
"Grupo de financiamento","Componente Especializado","comprimido","400 mg"
"Grupo de financiamento","Componente Especializado","","2"
"PCDT Doença de Crohn PCDT Retocolite Ulcerativa","Componente Especializado","comprimido de liberação prolongada","500 mg"
"PCDT Doença de Crohn PCDT Retocolite Ulcerativa","Componente Especializado","","2"
"PCDT Doença de Crohn PCDT Retocolite Ulcerativa","Componente Especializado","comprimido","800 mg"
"PCDT Doença de Crohn PCDT Retocolite Ulcerativa","Componente Especializado","","2"
"PCDT Doença de Crohn PCDT Retocolite Ulcerativa","Componente Especializado","supositório retal","250 mg"
"PCDT Doença de Crohn PCDT Retocolite Ulcerativa","Componente Especializado","","2"
"PCDT Retocolite Ulcerativa","Componente Especializado","supositório retal","500 mg"
"PCDT Retocolite Ulcerativa","Componente Especializado","","2"
"PCDT Retocolite Ulcerativa","Componente Especializado","supositório retal","1000 mg"
"PCDT Retocolite Ulcerativa","Componente Especializado","","2"
"PCDT Retocolite Ulcerativa","Componente Especializado","enema","10 mg/mL"
"PCDT Retocolite Ulcerativa","Componente Especializado","","2"
"PCDT Retocolite Ulcerativa","Componente Especializado","granulado revestido de liberação prolongada","2g"
"PCDT Retocolite Ulcerativa","Componente Especializado","","2"
"mesilato de bromocriptina","Componente Especializado","comprimido","2,5 mg"
"mesilato de bromocriptina","Componente Especializado","","1B"
"mesilato de desferroxamina","Componente Especializado","pó para solução injetável","500 mg"
"mesilato de desferroxamina","Componente Especializado","","1B"
"mesilato de rasagilina","Componente Especializado","comprimido","1 mg"
"mesilato de rasagilina","Componente Especializado","","1A"
"PCDT Doença de Parkinson","Componente Especializado","","1A"
"metotrexato","Componente Especializado","solução injetável","25 mg/mL"
"Concentração/ Composição","Componente Especializado","","2,5 mg"
"Concentração/ Composição","Componente Especializado","","500 mg"
"Concentração/ Composição","Componente Especializado","comprimido",""
"Concentração/ Composição","Componente Especializado","comprimido",""
"Documento norteador1","Componente Especializado","","1A"
"PCDT Artrite Idiopática Juvenil PCDT Artrite Psoríaca PCDT Artrite Reumatoide PCDT Dermatomiosite e Polimiosite PCDT Esclerose Sistêmica PCDT Espondilite Ancilosante PCDT Lúpus Eritematoso Sistêmico PCDT Psoríase","Componente Especializado","","1A"
"Concentração/ Composição","Componente Especializado","","180 mg"
"Concentração/ Composição","Componente Especializado","comprimido",""
"Documento norteador1","Componente Especializado","","1A"
"miglustate","Componente Especializado","comprimido","360 mg"
"miglustate","Componente Especializado","","1A"
"PCDT Imunossupressão no Transplante Cardíaco PCDT Imunossupressão no Transplante Hepático em Adultos PCDT Imunossupressão no Transplante Hepático em Pediatria PCDT Imunossupressão em Transplante Renal PCDT Lúpus Eritematoso Sistêmico","Componente Especializado","cápsula","100 mg"
